Role,Company,Company URL,Salary,Location,Application Link,Type,Email,Date Created,idx,job_description,Job_Description
Gen AI Engineer,Temple & Webster,https://au.linkedin.com/company/temple-&-webster?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/gen-ai-engineer-at-temple-webster-3881012968?position=7&pageNum=5&refId=NALG5DXJmZqw0cOQZUO%2FAg%3D%3D&trackingId=y2kYLMgSjpVHqW8wsWgynQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,36,,"Here is a job description for a Gen AI Engineer at Temple & Webster in Sydney, Australia:

**Job Title:** Gen AI Engineer

**Company:** Temple & Webster

**Location:** Sydney, New South Wales, Australia

**Salary Range:** Competitive salary package (dependent on experience)

**Job Type:** Full-time

**About Us:**

Temple & Webster is a leading online furniture and homewares retailer in Australia. We're committed to delivering exceptional customer experiences through innovative technology and data-driven decision-making. Our team of talented professionals is growing, and we're seeking an experienced Gen AI Engineer to join our ranks.

**Job Summary:**

We're looking for an exceptional Gen AI Engineer to join our Data Science team. As a Gen AI Engineer at Temple & Webster, you will be responsible for designing, developing, and deploying generative AI models that drive business growth and improve customer experiences. You'll work closely with our data scientists, product managers, and engineers to identify opportunities for AI-driven innovation and deliver scalable solutions that meet our business needs.

**Responsibilities:**

* Design, develop, and deploy generative AI models (e.g., GANs, VAEs, Transformers) that drive business value and improve customer experiences
* Collaborate with data scientists to develop and improve AI models, ensuring seamless integration with our technology stack
* Work with engineers to deploy and optimize AI models in production, ensuring scalability and reliability
* Develop and maintain technical documentation for AI models and deployment scripts
* Stay up-to-date with the latest advancements in generative AI and machine learning, applying this knowledge to drive innovation and improvement in our AI solutions
* Collaborate with cross-functional teams to identify opportunities for AI-driven innovation and develop business cases for new AI projects

**Requirements:**

* 3+ years of experience in AI engineering, machine learning, or a related field
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field
* Proficiency in Python, with experience in popular AI frameworks such as TensorFlow, PyTorch, or Keras
* Strong understanding of generative AI models, including GANs, VAEs, and Transformers
* Experience with containerization (e.g., Docker) and orchestration (e.g., Kubernetes) for deploying AI models in production
* Excellent problem-solving skills, with the ability to work independently and collaboratively
* Strong communication and documentation skills, with the ability to explain complex AI concepts to non-technical stakeholders

**Nice to Have:**

* Experience with cloud-based AI platforms (e.g., AWS SageMaker, Google Cloud AI Platform)
* Knowledge of software development methodologies (e.g., Agile, Scrum)
* Experience with DevOps practices and tooling (e.g., Jenkins, GitLab CI/CD)

**What We Offer:**

* Competitive salary package and benefits
* Opportunity to work with a leading Australian retailer and drive innovation in AI
* Collaborative and dynamic work environment with a talented team
* Professional development opportunities and training programs
* Flexible working arrangements and a healthy work-life balance

If you're a motivated and experienced Gen AI Engineer looking for a new challenge, we'd love to hear from you! Please submit your application, including your resume and a cover letter outlining your experience and qualifications."
AI/ML and MLOps Field Engineer,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Adelaide, South Australia, Australia",https://au.linkedin.com/jobs/view/ai-ml-and-mlops-field-engineer-at-canonical-3881285920?position=10&pageNum=5&refId=NALG5DXJmZqw0cOQZUO%2FAg%3D%3D&trackingId=AX8uFTyKPjoLErtDtHaN%2BA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,37,,"Here is a job description for the specified role:

**Job Title: AI/ML and MLOps Field Engineer**

**Company: Canonical**

**Location: Adelaide, South Australia, Australia**

**Salary Range: Competitive**

**Job Summary:**

Canonical is seeking an experienced AI/ML and MLOps Field Engineer to join our team in Adelaide, South Australia. As an AI/ML and MLOps Field Engineer, you will be responsible for designing, developing, and deploying artificial intelligence and machine learning models, as well as implementing MLOps practices to ensure the efficient and scalable deployment of these models. You will work closely with cross-functional teams to identify business problems and develop data-driven solutions that drive business value.

**Responsibilities:**

* Design, develop, and deploy artificial intelligence and machine learning models to solve complex business problems
* Implement MLOps practices to ensure the efficient and scalable deployment of AI/ML models
* Collaborate with cross-functional teams to identify business problems and develop data-driven solutions
* Develop and maintain data pipelines to ensure data quality and integrity
* Work with stakeholders to identify and prioritize business problems that can be solved using AI/ML
* Develop and maintain technical documentation of AI/ML models and MLOps practices
* Stay up-to-date with industry trends and advancements in AI/ML and MLOps

**Requirements:**

* 5+ years of experience in AI/ML and MLOps
* Bachelor's or Master's degree in Computer Science, Data Science, or a related field
* Strong experience with AI/ML frameworks such as TensorFlow, PyTorch, or Scikit-Learn
* Experience with MLOps practices and tools such as Kubeflow, MLflow, or Azure Machine Learning
* Strong programming skills in Python, R, or Julia
* Experience with cloud platforms such as AWS, GCP, or Azure
* Excellent communication and collaboration skills
* Strong problem-solving skills and attention to detail

**Nice to Have:**

* Experience with open-source technologies such as Ubuntu and Kubernetes
* Knowledge of DevOps practices and tools such as Docker, Jenkins, and Git
* Experience with data visualization tools such as Tableau, Power BI, or D3.js
* Certification in AI/ML or MLOps

If you are a motivated and results-driven AI/ML and MLOps professional looking to join a dynamic team, please submit your application, including your resume and a cover letter, to [insert contact information]."
Full Stack Engineer (Gen AI),Bain & Company,https://www.linkedin.com/company/bain-and-company?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/full-stack-engineer-gen-ai-at-bain-company-3870576655?position=2&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=FCb8wrjUSkjG%2FsqUAUAHsQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,38,,"Here is a job description for a Full Stack Engineer (Gen AI) at Bain & Company in Melbourne, Victoria, Australia:

**Job Title:** Full Stack Engineer (Gen AI)
**Company:** Bain & Company
**Location:** Melbourne, Victoria, Australia
**Salary:** Competitive salary package (negotiable)

**Job Summary:**

We are seeking an innovative and experienced Full Stack Engineer (Gen AI) to join our team at Bain & Company in Melbourne. As a Full Stack Engineer, you will play a key role in developing and implementing cutting-edge Artificial Intelligence (AI) solutions that drive business growth and improvement for our clients. You will work closely with cross-functional teams to design, develop, and deploy AI-powered applications that meet our clients' needs.

**Responsibilities:**

* Design and develop scalable, efficient, and reliable AI-infused applications using modern technologies such as machine learning, natural language processing, and computer vision
* Collaborate with data scientists, product managers, and designers to implement AI-powered features and solutions
* Develop and maintain high-quality, modular, and reusable code in languages such as Python, Java, or C++
* Participate in code reviews and contribute to the improvement of the overall code quality and architecture
* Work with the DevOps team to ensure seamless deployment and operation of AI applications
* Stay up-to-date with the latest advancements in AI and machine learning and apply this knowledge to improve our solutions

**Requirements:**

* 5+ years of experience in full-stack software development with a focus on AI, machine learning, or data science
* Strong proficiency in programming languages such as Python, Java, or C++ and AI/ML frameworks like TensorFlow, PyTorch, or Scikit-learn
* Experience with cloud-based technologies such as AWS, Azure, or Google Cloud Platform
* Strong understanding of software development principles, design patterns, and testing methodologies
* Excellent problem-solving skills, with the ability to break down complex problems into manageable components
* Strong communication and collaboration skills, with experience working in agile environments
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with containerization using Docker and Kubernetes
* Knowledge of data visualization tools such as Tableau, Power BI, or D3.js
* Familiarity with Agile development methodologies and version control systems such as Git
* Experience with AI/ML frameworks such as OpenCV, Keras, or NLTK

**What We Offer:**

* Competitive salary package (negotiable)
* Opportunities to work on high-impact projects with global clients
* Collaborative and dynamic work environment with a team of experienced professionals
* Opportunities for professional growth and development in AI and machine learning
* Access to cutting-edge technologies and tools
* Flexible working arrangements and a healthy work-life balance

If you are a motivated and innovative Full Stack Engineer with a passion for AI and machine learning, we encourage you to apply for this exciting opportunity to join our team at Bain & Company in Melbourne."
"Incubation Engineer, AI",GitLab,https://www.linkedin.com/company/gitlab-com?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/incubation-engineer-ai-at-gitlab-3861712774?position=3&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=NhgCvMQ8cAls0n9rhCmCpA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,39,,"Here is a job description for an Incubation Engineer, AI at GitLab in Australia:

**Job Title:** Incubation Engineer, AI

**Company:** GitLab

**Location:** Australia

**Salary Range:** Competitive salary package (negotiable)

**Job Type:** Full-time

**About Us:**

GitLab is a revolutionary software company that is changing the way people collaborate and build software. Our mission is to help teams work more efficiently and effectively, and we're looking for talented individuals to join our team.

**Job Summary:**

We're seeking an innovative and experienced Incubation Engineer, AI to join our team in Australia. As an Incubation Engineer, AI, you will play a critical role in shaping the future of artificial intelligence at GitLab. You will be responsible for designing, developing, and deploying AI-powered solutions that drive business value and improve customer experiences. If you're passionate about AI, machine learning, and software development, we want to hear from you!

**Responsibilities:**

* Design, develop, test, and deploy AI-powered solutions that integrate with GitLab's products and services
* Collaborate with cross-functional teams to identify business problems and develop AI-driven solutions
* Apply machine learning and deep learning techniques to solve complex problems and improve customer experiences
* Work with large datasets to develop and train AI models that meet business requirements
* Develop and maintain technical documentation for AI-powered solutions
* Collaborate with DevOps teams to ensure seamless deployment of AI-powered solutions
* Stay up-to-date with the latest advancements in AI and machine learning, and apply this knowledge to improve GitLab's products and services

**Requirements:**

* 5+ years of experience in AI, machine learning, or software development
* Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a related field
* Strong programming skills in Python, Java, or C++
* Experience with AI frameworks such as TensorFlow, PyTorch, or scikit-learn
* Experience with machine learning libraries and tools such as OpenCV, Keras, or NLTK
* Strong understanding of computer vision, natural language processing, or other AI-related fields
* Excellent problem-solving skills and attention to detail
* Excellent communication and collaboration skills
* Experience working in an Agile environment and with DevOps practices

**Nice to Have:**

* Experience with cloud-based platforms such as AWS, Azure, or Google Cloud
* Experience with containerization using Docker
* Knowledge of Kubernetes or other orchestration tools
* Experience with Git and GitLab
* Certification in AI, machine learning, or a related field

**What We Offer:**

* Competitive salary package
* Opportunities for professional growth and development
* Collaborative and dynamic work environment
* Flexible working hours and remote work options
* Access to the latest technologies and tools
* Recognition and rewards for outstanding performance

If you're a motivated and innovative AI professional looking to join a cutting-edge company, apply now to become a part of our team!"
"Expression of Interest: Senior Machine
  Learning Engineer",Fingerprint for Success (F4S),https://au.linkedin.com/company/fingerprint-for-success?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/expression-of-interest-senior-machine-learning-engineer-at-fingerprint-for-success-f4s-3858761930?position=6&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=j9hOX0FVjaVDirGvYm1XKw%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,41,,"Here is a job description based on the provided information:

**Job Title:** Senior Machine Learning Engineer

**Company:** Fingerprint for Success (F4S)

**Location:** Australia

**Salary Range:** Competitive salary package (negotiable based on experience)

**Job Type:** Full-time

**About Us:**

Fingerprint for Success (F4S) is a cutting-edge technology company that is revolutionizing the way businesses approach people management. We're dedicated to helping organizations unlock the full potential of their teams by leveraging the power of AI-driven insights. Our innovative solutions empower leaders to make data-driven decisions, driving growth, and success.

**Job Overview:**

We're seeking an exceptional Senior Machine Learning Engineer to join our high-performing team in Australia. As a Senior Machine Learning Engineer, you will be responsible for designing, developing, and deploying machine learning models that drive business value. You will work closely with cross-functional teams to identify opportunities to leverage machine learning and AI to drive innovation and growth.

**Responsibilities:**

* Design, develop, and deploy machine learning models to solve complex business problems
* Collaborate with data scientists and engineers to develop and integrate AI-driven solutions
* Develop and maintain large-scale machine learning systems, ensuring scalability, reliability, and performance
* Conduct exploratory data analysis, feature engineering, and model evaluation
* Work closely with product owners to understand business requirements and develop solutions that meet business needs
* Stay up-to-date with emerging trends and advancements in machine learning and AI
* Mentor junior engineers and contribute to the development of best practices in machine learning engineering

**Requirements:**

* 5+ years of experience in machine learning engineering, with a focus on building and deploying models in production environments
* Master's or Ph.D. in Computer Science, Machine Learning, or a related field
* Proficiency in Python, with experience in popular machine learning frameworks such as TensorFlow, PyTorch, or scikit-learn
* Strong understanding of machine learning concepts, including supervised and unsupervised learning, deep learning, and neural networks
* Experience with cloud-based technologies, such as AWS or GCP
* Excellent problem-solving skills, with the ability to work independently and collaboratively as part of a team
* Strong communication skills, with the ability to explain complex technical concepts to non-technical stakeholders

**Nice to Have:**

* Experience with big data technologies, such as Hadoop, Spark, or NoSQL databases
* Knowledge of containerization using Docker and orchestration using Kubernetes
* Experience with Agile development methodologies and version control systems such as Git

**What We Offer:**

* Competitive salary package
* Opportunities for professional growth and development
* Collaborative and dynamic work environment
* Access to cutting-edge technologies and tools
* Flexible working arrangements and remote work options
* Recognition and rewards for outstanding performance

If you're a motivated and talented machine learning engineer looking for a new challenge, we'd love to hear from you! Please submit your resume and a brief cover letter outlining your experience and interests."
Machine Learning Engineer,Infinite Consulting,https://au.linkedin.com/company/infinite-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Canberra, Australian Capital Territory, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-infinite-consulting-3891276500?position=7&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=6o%2FkI2l3w0cTK0fILdL1Qw%3D%3D&trk=public_jobs_jserp-result_search-card,Contract,,4/21/2024,42,,"Here is a job description for a Machine Learning Engineer at Infinite Consulting in Canberra, Australian Capital Territory, Australia:

**Job Title: Machine Learning Engineer**
**Company: Infinite Consulting**
**Location: Canberra, Australian Capital Territory, Australia**
**Salary Range: $120,000 - $180,000 per annum**

**Job Summary:**

Infinite Consulting is seeking a highly skilled Machine Learning Engineer to join our team in Canberra. As a Machine Learning Engineer, you will play a critical role in developing and deploying artificial intelligence and machine learning solutions for our clients. You will collaborate with cross-functional teams to design, develop, and implement machine learning models that drive business value. If you have a passion for machine learning, a strong engineering background, and excellent problem-solving skills, we want to hear from you!

**Responsibilities:**

* Design, develop, and deploy machine learning models to solve complex business problems
* Collaborate with data scientists to develop and refine machine learning models
* Work with data engineers to design and implement data pipelines for model training and deployment
* Develop and maintain scalable and efficient machine learning infrastructure
* Implement model serving and monitoring systems to ensure model performance and data quality
* Work closely with clients to understand their business needs and develop solutions that meet their requirements
* Stay up-to-date with the latest developments in machine learning and artificial intelligence

**Requirements:**

* **Experience:** 3+ years of experience in machine learning engineering or a related field
* **Education:** Bachelor's or Master's degree in Computer Science, Engineering, or a related field
* **Skills:**
	+ Strong programming skills in Python, TensorFlow, PyTorch, or similar machine learning frameworks
	+ Experience with cloud-based platforms such as AWS, GCP, or Azure
	+ Knowledge of containerization using Docker and Kubernetes
	+ Experience with data pipeline tools such as Apache Beam, Apache NiFi, or AWS Glue
	+ Strong understanding of machine learning concepts, including supervised and unsupervised learning, deep learning, and reinforcement learning
	+ Excellent problem-solving skills and attention to detail
	+ Strong communication and collaboration skills
* **Desirable Skills:**
	+ Experience with computer vision or natural language processing
	+ Knowledge of DevOps practices and agile methodologies
	+ Experience with cloud-based machine learning platforms such as AWS SageMaker or Google Cloud AI Platform

**What We Offer:**

* Competitive salary and benefits package
* Opportunities for professional growth and development
* Collaborative and dynamic work environment
* Flexible working arrangements and remote work options
* Access to cutting-edge technologies and tools
* Recognition and rewards for outstanding performance

If you're passionate about machine learning and are looking for a challenging and rewarding role, apply now to join our team!"
"Graduate Machine Learning Engineer (Trust
  & Safety) - 2024 Start (Australia)",TikTok,https://www.linkedin.com/company/tiktok?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/graduate-machine-learning-engineer-trust-safety-2024-start-australia-at-tiktok-3689980661?position=8&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=NSk1II1%2BFx19B8%2Bfey0nsQ%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,43,,"Here is a job description for the role:

**Job Title:** Graduate Machine Learning Engineer (Trust & Safety) - 2024 Start

**Company:** TikTok

**Location:** Sydney, New South Wales, Australia

**Salary:** Competitive salary package ( negotiable )

**Job Type:** Full-time Graduate Program

**About Us:**
TikTok is a global social media phenomenon that has taken the world by storm. As a Graduate Machine Learning Engineer in our Trust & Safety team, you'll be part of a talented team of engineers and researchers building innovative solutions to ensure the safety and integrity of our platform.

**Job Description:**

We're looking for a highly motivated and talented Graduate Machine Learning Engineer to join our Trust & Safety team in Sydney. As a Graduate Machine Learning Engineer, you will be responsible for developing and implementing machine learning models to detect and mitigate harmful content on our platform. You will work closely with cross-functional teams to design, develop, and deploy scalable machine learning solutions that ensure the safety and well-being of our users.

**Responsibilities:**

* Design, develop, and deploy machine learning models to detect and mitigate harmful content on our platform
* Collaborate with data scientists, engineers, and product managers to develop and implement scalable machine learning solutions
* Analyze and interpret large datasets to identify trends and patterns
* Develop and maintain large-scale data pipelines to support machine learning models
* Stay up-to-date with the latest advancements in machine learning and AI research
* Collaborate with global teams to share knowledge and best practices

**Requirements:**

* Bachelor's or Master's degree in Computer Science, Machine Learning, or a related field (completed in 2023 or expected to complete in 2024)
* 0-2 years of experience in machine learning or a related field
* Strong programming skills in Python or other programming languages
* Experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-learn
* Knowledge of machine learning algorithms and data structures
* Strong understanding of data preprocessing, feature engineering, and model evaluation
* Excellent problem-solving skills and attention to detail
* Strong communication and collaboration skills
* Ability to work in a fast-paced environment and adapt to changing priorities

**Nice to Have:**

* Experience with cloud-based technologies such as AWS or GCP
* Familiarity with containerization using Docker
* Knowledge of distributed computing frameworks such as Apache Spark
* Experience with agile development methodologies

**What We Offer:**

* Competitive salary package
* Opportunities for professional growth and development
* Collaborative and dynamic work environment
* Access to cutting-edge technologies and tools
* Flexible working hours and remote work options
* Competitive benefits package

If you're passionate about machine learning and want to make a real impact on the safety and integrity of our platform, apply now to join our team!"
"Staff Machine Learning Engineer -
  Assistant",Canva,https://au.linkedin.com/company/canva?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/staff-machine-learning-engineer-assistant-at-canva-3765106735?position=9&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=OzSrIZ8zYZJr9BV8KP6lSA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,44,,"Here is a job description for a Staff Machine Learning Engineer Assistant at Canva in Sydney, Australia:

**Job Title: Staff Machine Learning Engineer Assistant**

**Company: Canva**

**Location: Sydney, New South Wales, Australia**

**Salary Range: AU$130,000 - AU$180,000 per annum**

**About Us:**
Canva is a leading design and collaboration platform that empowers users to create stunning visuals and designs. We're a global company with a strong presence in Australia, and we're looking for a talented Staff Machine Learning Engineer Assistant to join our team in Sydney.

**About the Role:**
We're seeking an exceptional Staff Machine Learning Engineer Assistant to help us drive innovation and excellence in our machine learning capabilities. As a Staff Machine Learning Engineer Assistant, you will work closely with our data science team to design, develop, and deploy machine learning models that power our product features. This is a unique opportunity to work on cutting-edge technology and contribute to the growth of a fast-paced and dynamic company.

**Responsibilities:**

* Design, develop, and deploy machine learning models that drive business value and improve user experience
* Collaborate with cross-functional teams to integrate machine learning models into our product features
* Develop and maintain scalable and efficient data pipelines to support model training and deployment
* Work with large datasets to develop and apply machine learning algorithms and models
* Stay up-to-date with the latest advancements in machine learning and deep learning, and apply this knowledge to improve our models and systems
* Collaborate with data scientists to develop and maintain data quality and data governance standards
* Participate in code reviews and contribute to the development of best practices for machine learning engineering

**Requirements:**

* 5+ years of experience in machine learning engineering or a related field
* Bachelor's or Master's degree in Computer Science, Data Science, or a related field
* Strong programming skills in Python, with experience in TensorFlow, PyTorch, or Scikit-learn
* Experience with machine learning frameworks and tools, such as scikit-learn, TensorFlow, or PyTorch
* Strong understanding of machine learning algorithms and concepts, including supervised and unsupervised learning, deep learning, and neural networks
* Experience with data preprocessing, feature engineering, and model evaluation
* Excellent communication and collaboration skills, with the ability to work with cross-functional teams
* Experience with agile development methodologies and version control systems, such as Git

**Nice to Have:**

* Experience with cloud-based technologies, such as AWS or GCP
* Knowledge of Docker and containerization
* Familiarity with automated testing and continuous integration/continuous deployment (CI/CD) pipelines
* Experience with data visualization tools, such as Tableau or Power BI

**What We Offer:**

* Competitive salary and benefits package
* Opportunity to work on cutting-edge technology and contribute to the growth of a fast-paced and dynamic company
* Collaborative and dynamic work environment with a global team
* Professional development opportunities and training budget
* Flexible working hours and remote work options
* Access to the latest tools and technologies
* A fun and supportive company culture with regular team-building events and activities

If you're passionate about machine learning and want to join a global company that's changing the way people design and collaborate, we'd love to hear from you!"
"Senior Python Engineer - Generative AI
  Product",Opus Recruitment Solutions,https://uk.linkedin.com/company/opus-recruitment-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-python-engineer-generative-ai-product-at-opus-recruitment-solutions-3889972878?position=10&pageNum=7&refId=pC5%2BRFjKaQ95Esnh9G0oGA%3D%3D&trackingId=eLFRBdRGZTUmSsI2JCRE5Q%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,45,,"Here is a job description for the Senior Python Engineer - Generative AI role:

**Job Title:** Senior Python Engineer - Generative AI

**Company:** Opus Recruitment Solutions

**Location:** Sydney, New South Wales, Australia

**Salary Range:** Competitive salary package (negotiable based on experience)

**Job Summary:**

We are seeking an experienced Senior Python Engineer with a focus on Generative AI to join our team at Opus Recruitment Solutions in Sydney, Australia. As a Senior Python Engineer, you will be responsible for designing, developing, and deploying AI-powered solutions using Python and related technologies. You will work closely with our data science team to develop and improve our generative AI models, ensuring high-quality outputs and optimal performance.

**Responsibilities:**

* Design, develop, and deploy AI-powered solutions using Python, TensorFlow, PyTorch, or other relevant technologies
* Collaborate with data scientists to develop and improve generative AI models, ensuring high-quality outputs and optimal performance
* Develop and maintain scalable, efficient, and reliable code using best practices in software development
* Participate in code reviews and ensure adherence to coding standards
* Troubleshoot and resolve technical issues, collaborating with cross-functional teams as needed
* Stay up-to-date with industry trends and advancements in AI, machine learning, and Python development

**Requirements:**

* 5+ years of experience in Python software development, with a focus on AI, machine learning, or data science
* Strong proficiency in Python 3.x, with experience in Python libraries and frameworks such as NumPy, pandas, and scikit-learn
* Experience with deep learning frameworks such as TensorFlow, PyTorch, or Keras
* Knowledge of generative AI models, including GANs, VAEs, and sequence-to-sequence models
* Experience with cloud-based technologies such as AWS, Azure, or Google Cloud
* Strong understanding of software development best practices, including testing, version control, and agile methodologies
* Excellent problem-solving skills, with the ability to debug and optimize code
* Strong communication and collaboration skills, with the ability to work effectively in a team environment

**Nice to Have:**

* Experience with containerization using Docker and Kubernetes
* Knowledge of computer vision or natural language processing
* Experience with DevOps practices and tools such as Jenkins, Git, and CI/CD pipelines
* Certification in AI, machine learning, or a related field

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Flexible working arrangements, including remote work options
* Access to cutting-edge technologies and tools
* Recognition and rewards for outstanding performance

If you're a motivated and experienced Python engineer with a passion for AI and machine learning, we encourage you to apply for this exciting opportunity!"
"Software Development Engineer, Skyvera
  (Remote) - $60,000/year USD",Crossover,https://www.linkedin.com/company/crossover?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/software-development-engineer-skyvera-remote-%2460-000-year-usd-at-crossover-3901733823?position=1&pageNum=10&refId=%2Fmegg6YqJVXCiqjOcyqrzw%3D%3D&trackingId=K3XzzKriz0A%2FbOWs3bfWng%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,46,,"Here is a job description for the role:

**Job Title:** Software Development Engineer, Skyvera (Remote)

**Company:** Crossover

**Location:** Melbourne, Victoria, Australia (Remote work arrangement available)

**Salary:** $60,000/year USD (plus benefits)

**Job Summary:**

We are seeking an experienced and skilled Software Development Engineer to join our Skyvera team at Crossover. As a Software Development Engineer, you will be responsible for designing, developing, and maintaining high-quality software applications. This is a remote work opportunity, and you will have the flexibility to work from the comfort of your own home or office in Melbourne, Victoria, Australia.

**Responsibilities:**

* Design, develop, test, and maintain software applications using various programming languages and technologies
* Collaborate with cross-functional teams to identify and prioritize project requirements
* Develop and maintain technical documentation to support software development and maintenance
* Troubleshoot and debug software issues, identifying and implementing solutions in a timely and efficient manner
* Participate in Agile development methodologies, including daily stand-ups, sprint planning, and retrospectives
* Ensure software applications are scalable, secure, and meet performance requirements

**Requirements:**

* 3+ years of experience in software development with a focus on cloud-based applications
* Bachelor's degree in Computer Science, Information Technology, or a related field
* Proficiency in one or more programming languages, including Java, Python, or C++
* Experience with cloud-based technologies, such as AWS or Azure
* Strong understanding of software development life cycles, Agile methodologies, and version control systems (e.g., Git)
* Excellent problem-solving skills, with the ability to debug and troubleshoot complex software issues
* Strong communication and collaboration skills, with the ability to work effectively with remote teams

**Nice to Have:**

* Experience with DevOps practices and tools, such as Docker, Kubernetes, and Jenkins
* Knowledge of database management systems, including design and implementation
* Familiarity with containerization and serverless computing
* Participation in open-source projects or personal coding projects

**What We Offer:**

* Competitive salary of $60,000/year USD (plus benefits)
* Flexible remote work arrangement with the option to work from home or office
* Opportunity to work with a dynamic and innovative company, Skyvera, at Crossover
* Collaborative and supportive team environment
* Professional development opportunities to enhance your skills and career growth

If you are a motivated and talented software development engineer looking for a new challenge, please apply with your resume and a brief introduction outlining your experience and qualifications."
